team,opponent,date,is_home,result,goals_for,goals_against,win_rate,world_cup_win_rate,avg_goals_scored,avg_goals_conceded,avg_goal_diff,players_value,fifa_ranking,opp_win_rate,opp_avg_gs,opp_avg_gc,opp_players_value,opp_fifa_ranking,ranking_diff,value_ratio,form_wins_5,form_draws_5,form_losses_5,form_pts_5,form_gf_5,form_ga_5,form_gd_5,form_home_wr_5,form_away_wr_5
Algérie,Gambie,03.05.2025,0,D,0,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0
Algérie,Pays-Bas,03.06. 20:45,0,W,1,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5875,2.31,0.96,30930000.0,8.0,20.0,0.3194309731652118,1.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0
Algérie,Soudan,03.12.2025,1,D,0,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,2.0,1.0,0.0,7.0,3.0,0.0,3.0,1.0,0.5
Algérie,SénégalVainqueur: Sénégal,04.02.2023Après TAB,1,L,0,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,2.0,2.0,0.0,8.0,3.0,0.0,3.0,0.5,0.5
Algérie,Ouganda,04.06.2022,1,W,2,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,3.0,0.0,3.0,0.3333333333333333,0.5
Algérie,Ouganda,04.08.2025,0,W,3,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,3.0,0.0,3.0,0.3333333333333333,0.5
Algérie,Botswana,04.09.2025,1,W,3,1,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,3.0,1.0,1.0,10.0,6.0,0.0,6.0,0.3333333333333333,1.0
Algérie,Togo,05.01.2024,0,W,3,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,3.0,1.0,1.0,10.0,8.0,1.0,7.0,0.5,1.0
Algérie,Rwanda,05.06.2025,1,W,2,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,4.0,0.0,1.0,12.0,11.0,1.0,10.0,0.6666666666666666,1.0
Algérie,Guinée Équatoriale,05.09.2024,1,W,2,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,5.0,0.0,0.0,15.0,13.0,1.0,12.0,1.0,1.0
Algérie,RD Congo,06.01. 17:00Après prol.,1,W,1,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,5.0,0.0,0.0,15.0,13.0,1.0,12.0,1.0,1.0
Algérie,Niger,06.06.2022,1,W,1,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,5.0,0.0,0.0,15.0,11.0,1.0,10.0,1.0,1.0
Algérie,Guinée,06.06.2024,1,L,1,2,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,5.0,0.0,0.0,15.0,9.0,0.0,9.0,1.0,1.0
Algérie,Bahreïn,06.12.2025,0,W,5,1,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,4.0,0.0,1.0,12.0,7.0,2.0,5.0,0.8,0.0
Algérie,Ghana,07.01.2023,1,D,0,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.3875,1.26,1.15,8690000.0,73.0,-45.0,1.1369390103567318,4.0,0.0,1.0,12.0,10.0,3.0,7.0,0.75,1.0
Algérie,Tanzanie,07.09.2023,1,D,0,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,3.0,1.0,1.0,10.0,8.0,3.0,5.0,0.5,1.0
Algérie,Tanzanie,08.06.2022,0,W,2,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,7.0,3.0,4.0,0.25,1.0
Algérie,Afrique du Sud,08.08.2025,1,D,1,1,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.4625,1.32,0.91,1890000.0,60.0,-32.0,5.227513227513228,2.0,2.0,1.0,8.0,8.0,3.0,5.0,0.0,1.0
Algérie,Guinée,08.09.2025,0,D,0,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,2.0,3.0,0.0,9.0,8.0,2.0,6.0,0.0,1.0
